Pallet,Weight,Profit
1,39,17
2,99,35
3,88,43
4,47,45
5,94,23
6,96,32
7,42,8
8,22,12
9,57,25
10,79,35
11,17,47
12,90,38
13,30,6
14,27,48
15,71,17
16,34,28
17,39,19
18,31,18
19,80,28
20,99,27
21,15,23
22,15,13
23,50,9
24,97,13
25,51,24
26,17,20
27,32,16
28,28,50
29,17,47
30,21,21
31,54,34
32,87,45
33,55,7
34,86,31
35,82,46
36,21,17
37,52,11
38,52,21
39,99,17
40,21,39
41,20,13
42,23,19
43,61,12
44,18,13
45,62,16
46,13,41
47,30,6
48,65,13
49,95,25
50,100,8
51,38,48
52,38,9
53,58,33
54,32,28
55,100,11
56,65,22
57,92,41
58,61,46
59,83,5
60,39,19
61,30,29
62,68,30
63,100,36
64,56,19
65,86,49
66,54,43
67,55,16
68,75,32
69,33,37
70,39,27
71,92,14
72,85,48
73,71,21
74,68,38
75,45,50
76,46,28
77,79,27
78,57,39
79,56,48
80,56,20
81,78,9
82,64,20
83,96,32
84,65,17
85,100,36
86,36,33
87,17,38
88,95,15
89,23,14
90,81,26
91,71,16
92,33,46
93,92,11
94,75,43
95,82,20
96,90,13
97,57,49
98,19,16
99,43,38
100,77,11
101,53,42
102,89,35
103,62,42
104,37,36
105,96,44
106,90,45
107,66,49
108,78,30
109,13,10
110,60,44
111,29,18
112,59,9
113,46,23
114,48,15
115,19,16
116,73,28
117,48,27
118,76,26
119,71,23
120,39,40
121,73,43
122,14,45
123,40,43
124,12,8
125,76,47
126,83,7
127,88,17
128,59,12
129,82,50
130,95,27
131,21,47
132,62,33
133,82,44
134,74,32
135,53,9
136,67,7
137,16,50
138,23,15
139,82,17
140,80,46
141,21,37
142,42,24
143,77,49
144,41,43
145,13,32
146,94,36
147,65,41
148,59,40
149,95,16
150,67,6
151,95,7
152,16,47
153,46,31
154,75,49
155,63,10
156,71,32
157,64,19
158,73,39
159,80,22
160,91,16
161,22,7
162,71,48
163,20,42
164,30,20
165,79,43
166,77,24
167,41,49
168,24,29
169,49,34
170,68,28
171,30,20
172,65,28
173,25,17
174,52,19
175,92,45
176,63,13
177,99,12
178,94,11
179,91,26
180,72,26
181,39,9
182,91,35
183,50,5
184,77,31
185,67,38
186,23,30
187,10,43
188,17,40
189,62,28
190,18,20
191,41,5
192,47,31
193,89,31
194,26,34
195,52,46
196,27,44
197,66,34
198,19,32
199,35,15
200,92,24
201,93,9
202,17,15
203,76,28
204,76,40
205,24,16
206,14,47
207,63,23
208,70,5
209,71,12
210,54,7
211,53,46
212,17,23
213,55,12
214,27,11
215,51,41
216,58,20
217,51,13
218,69,29
219,22,31
220,81,37
221,50,41
222,23,7
223,10,43
224,28,50
225,42,23
226,53,29
227,46,11
228,33,17
229,47,7
230,39,36
231,41,37
232,59,19
233,69,26
234,77,22
235,18,22
236,34,5
237,27,29
238,29,24
239,32,44
240,72,6
241,14,40
242,21,9
243,91,33
244,98,24
245,18,25
246,16,15
247,20,39
248,19,35
249,99,48
250,61,20
251,12,47
252,91,44
253,63,38
254,68,43
255,78,44
256,93,7
257,82,27
258,55,5
259,77,26
260,62,14
261,68,28
262,68,48
263,61,6
264,15,10
265,25,30
266,35,34
267,59,14
268,98,28
269,58,43
270,43,38
271,67,37
272,97,44
273,90,27
274,76,49
275,16,22
276,88,16
277,18,17
278,12,16
279,72,49
280,27,28
281,84,7
282,12,43
283,67,37
284,34,47
285,41,45
286,33,41
287,40,35
288,68,46
289,90,5
290,85,43
291,44,27
292,89,48
293,35,26
294,17,24
295,30,40
296,26,9
297,45,17
298,63,37
299,80,14
300,24,20
301,55,13
302,43,39
303,29,5
304,23,22
305,52,16
306,78,47
307,83,11
308,55,19
309,37,6
310,28,10
311,99,8
312,49,17
313,19,16
314,99,43
315,84,35
316,57,18
317,60,7
318,83,8
319,10,17
320,60,14
321,42,39
322,55,30
323,46,19
324,19,44
325,57,34
326,76,44
327,55,39
328,94,22
329,58,17
330,54,7
331,19,39
332,13,12
333,95,20
334,79,35
335,45,11
336,58,44
337,85,44
338,10,50
339,71,9
340,19,10
341,29,50
342,71,39
343,50,31
344,45,38
345,46,22
346,60,46
347,99,24
348,89,35
349,26,9
350,54,30
351,79,35
352,56,18
353,80,29
354,14,17
355,32,5
356,13,39
357,58,19
358,40,16
359,65,42
360,60,15
361,20,9
362,79,12
363,97,8
364,95,38
365,13,6
366,15,43
367,99,15
368,45,10
369,63,30
370,22,19
371,18,48
372,83,43
373,17,21
374,45,47
375,82,5
376,39,38
377,97,8
378,86,41
379,83,43
380,69,43
381,97,11
382,68,6
383,35,20
384,59,45
385,11,39
386,99,13
387,68,8
388,24,24
389,48,12
390,11,22
391,31,27
392,38,19
393,27,10
394,12,8
395,46,35
396,65,6
397,13,18
398,93,15
399,94,5
400,68,7
401,87,6
402,27,40
403,34,14
404,75,36
405,88,44
406,87,29
407,39,6
408,12,15
409,28,22
410,77,9
411,49,12
412,61,36
413,71,27
414,91,38
415,87,44
416,41,8
417,42,22
418,53,39
419,36,49
420,11,34
421,27,49
422,18,19
423,97,11
424,52,7
425,35,28
426,70,28
427,21,6
428,28,11
429,98,42
430,47,47
431,46,50
432,39,38
433,86,41
434,93,20
435,26,19
436,70,12
437,24,9
438,68,27
439,51,47
440,31,12
441,67,21
442,69,19
443,62,16
444,34,14
445,36,39
446,58,31
447,84,9
448,44,39
449,38,43
450,28,19
451,86,12
452,83,18
453,24,19
454,45,37
455,40,25
456,69,50
457,93,19
458,46,48
459,88,7
460,96,15
461,26,34
462,10,33
463,50,31
464,85,37
465,92,45
466,30,6
467,58,10
468,72,22
469,99,49
470,62,34
471,46,21
472,59,11
473,52,36
474,98,7
475,84,31
476,67,13
477,40,46
478,70,28
479,47,32
480,11,7
481,10,35
482,39,46
483,64,48
484,75,9
485,13,46
486,95,18
487,12,47
488,25,5
489,16,35
490,93,40
491,90,38
492,64,11
493,38,46
494,98,30
495,33,10
496,22,18
497,10,20
498,25,10
499,70,27
500,98,42
501,44,42
502,28,20
503,74,49
504,51,47
505,35,36
506,46,22
507,21,26
508,57,20
509,38,30
510,48,25
511,72,39
512,20,40
513,68,14
514,62,50
515,34,28
516,56,8
517,63,15
518,66,36
519,91,16
520,80,50
521,72,24
522,66,27
523,23,7
524,37,39
525,66,24
526,15,27
527,76,15
528,53,19
529,97,6
530,27,23
531,53,24
532,58,19
533,61,27
534,66,14
535,100,32
536,17,6
537,99,22
538,21,15
539,89,22
540,39,45
541,29,31
542,93,30
543,96,13
544,69,16
545,22,22
546,39,38
547,78,38
548,11,18
549,12,33
550,13,29
551,67,14
552,64,8
553,45,23
554,78,12
555,69,28
556,66,10
557,84,24
558,17,34
559,51,33
560,60,41
561,14,30
562,54,49
563,60,16
564,49,5
565,29,32
566,74,14
567,74,49
568,49,14
569,58,40
570,22,36
571,66,25
572,57,19
573,17,24
574,99,6
575,22,23
576,27,24
577,13,40
578,31,32
579,93,6
580,53,7
581,20,45
582,94,31
583,45,17
584,64,14
585,53,42
586,22,21
587,70,17
588,35,34
589,69,8
590,34,24
591,36,23
592,55,22
593,99,8
594,72,15
595,14,23
596,97,16
597,49,7
598,46,18
599,91,44
600,53,12
601,77,6
602,99,37
603,88,5
604,87,42
605,47,33
606,45,13
607,83,17
608,56,10
609,39,18
610,49,10
611,29,49
612,86,28
613,30,33
614,75,38
615,55,50
616,67,49
617,24,6
618,22,42
619,66,47
620,88,26
621,94,43
622,29,27
623,94,33
624,24,45
625,37,21
626,13,23
627,45,34
628,20,12
629,95,21
630,56,41
631,59,18
632,62,17
633,53,23
634,17,29
635,69,27
636,93,34
637,76,32
638,51,40
639,39,15
640,44,46
641,61,39
642,58,44
643,80,50
644,49,17
645,52,32
646,86,45
647,97,21
648,90,21
649,36,16
650,32,43
651,22,17
652,32,46
653,20,5
654,47,38
655,43,38
656,35,43
657,25,39
658,94,10
659,46,36
660,34,20
661,17,23
662,33,43
663,96,5
664,75,11
665,38,32
666,53,31
667,85,25
668,51,14
669,73,6
670,32,21
671,91,6
672,94,19
673,69,43
674,86,22
675,74,26
676,84,43
677,76,9
678,91,35
679,73,10
680,85,47
681,83,18
682,68,6
683,97,21
684,26,27
685,30,6
686,22,36
687,95,42
688,84,39
689,59,48
690,41,44
691,37,16
692,86,31
693,86,39
694,78,37
695,95,36
696,52,12
697,89,12
698,59,47
699,65,13
700,99,50
701,74,37
702,36,7
703,67,21
704,17,43
705,80,11
706,80,33
707,43,34
708,16,12
709,15,28
710,16,7
711,71,31
712,14,35
713,98,33
714,92,36
715,53,50
716,66,14
717,32,36
718,15,48
719,13,10
720,59,11
721,89,27
722,26,16
723,22,37
724,89,22
725,65,41
726,41,30
727,25,11
728,61,13
729,70,35
730,34,39
731,45,19
732,25,30
733,61,19
734,96,47
735,58,45
736,95,22
737,62,33
738,37,13
739,93,46
740,61,22
741,83,14
742,44,11
743,41,42
744,21,10
745,66,7
746,51,11
747,27,5
748,22,14
749,75,22
750,15,25
751,26,20
752,57,36
753,55,38
754,77,15
755,64,45
756,69,45
757,71,9
758,57,39
759,96,30
760,31,45
761,99,17
762,22,37
763,36,13
764,57,32
765,96,41
766,82,44
767,83,43
768,98,21
769,41,22
770,69,11
771,99,38
772,98,9
773,27,27
774,23,45
775,35,34
776,22,33
777,83,21
778,67,20
779,16,44
780,83,17
781,12,27
782,61,12
783,18,35
784,21,20
785,42,15
786,36,42
787,53,23
788,58,26
789,65,37
790,82,50
791,62,5
792,25,32
793,14,22
794,14,43
795,17,30
796,22,13
797,74,21
798,84,12
799,27,26
800,60,29
801,65,5
802,99,43
803,20,27
804,91,31
805,75,28
806,65,38
807,30,8
808,29,50
809,19,39
810,53,33
811,73,45
812,83,17
813,81,29
814,84,43
815,49,22
816,88,8
817,65,39
818,71,27
819,99,45
820,41,29
821,75,22
822,36,23
823,46,30
824,51,14
825,51,25
826,81,28
827,29,33
828,28,8
829,63,50
830,17,14
831,94,50
832,54,19
833,45,18
834,66,10
835,55,35
836,46,38
837,44,46
838,84,7
839,88,10
840,74,10
841,33,19
842,14,13
843,11,38
844,63,5
845,94,25
846,37,26
847,66,39
848,53,5
849,47,17
850,97,11
851,43,10
852,73,8
853,92,15
854,37,44
855,82,50
856,11,6
857,66,38
858,33,20
859,47,26
860,49,21
861,61,8
862,57,30
863,80,46
864,71,11
865,98,8
866,15,35
867,41,45
868,55,29
869,23,41
870,88,20
871,41,45
872,38,29
873,98,32
874,31,41
875,88,7
