Dataset,BruteForce(s),BranchAndBound(s),DynamicProgramming(s),Greedy(s),GreedyOptimal,Approximation(s),ApproximationOptimal,ILP(s)
01,1.832e-05,1.27e-05,3.916e-05,3.66e-06,No,5.56e-06,Yes,0.338688
02,0.0195747,0.00969074,0.00023312,8.36e-06,No,1.32e-05,No,0.342176
03,SKIPPED,SKIPPED,0.00065164,1.308e-05,No,2.402e-05,No,0.346719
04,SKIPPED,SKIPPED,0.00732874,2.778e-05,No,4.688e-05,No,0.361909
05,0.00100534,0.00039016,9.866e-05,3.56e-06,No,6.1e-06,Yes,0.333312
06,4.548e-05,3.3e-05,4.068e-05,5.42e-06,No,7.14e-06,No,0.34226
07,SKIPPED,SKIPPED,0.00047608,8.68e-06,Yes,1.974e-05,Yes,0.328111
08,5.06e-05,6.772e-05,6.63e-05,2.9e-06,No,5.14e-06,Yes,0.331708
09,0.00032068,1.88e-05,0.00012644,5.16e-06,Yes,1.488e-05,Yes,0.335046
10,SKIPPED,SKIPPED,0.0849828,6.462e-05,No,0.0001198,No,0.382416
