Dataset,BruteForce(s),BranchAndBound(s),DynamicProgramming(s),Greedy(s),GreedyOptimal,Approximation(s),ApproximationOptimal,ILP(s)
01,2.658e-05,1.996e-05,5.858e-05,4.86e-06,Yes,1.002e-05,Yes,0.488137
02,5.21e-05,4.71e-05,0.00010058,6.18e-06,Yes,1.2e-05,Yes,0.343746
03,1.998e-05,1.244e-05,6.726e-05,4.6e-06,Yes,6.38e-06,Yes,0.339783
04,SKIPPED,SKIPPED,0.00100284,9.14e-06,No,1.598e-05,No,0.338267
05,SKIPPED,SKIPPED,1.958e-05,5.92e-06,Yes,1.122e-05,Yes,0.332977
06,SKIPPED,SKIPPED,0.0640839,0.00120752,Yes,0.00203744,Yes,0.531753
07,0.00128484,0.00074016,0.00047636,5.08e-06,Yes,7.24e-06,Yes,0.338061
08,0.00111962,0.00050958,0.00026552,5.44e-06,Yes,1.016e-05,Yes,0.343073
09,0.0026857,1.928e-05,2.894e-05,6e-06,Yes,8.24e-06,Yes,0.33935
10,3.5e-06,3.44e-06,6.56e-06,2.4e-06,No,2.58e-06,Yes,0.327992
